2022-06-28 18:10:47.155  INFO [,,] 23876 --- [restartedMain] br.com.jrafael.api.ExpenseApplicationKt  : Starting ExpenseApplicationKt using Java 17.0.2 on DESKTOP-527298G with PID 23876 (E:\Users\joser\Documents\WORKSPACE\Personal\finance\now\expense\api\build\classes\kotlin\main started by joser in E:\Users\joser\Documents\WORKSPACE\Personal\finance\now\expense)
2022-06-28 18:10:47.169  INFO [,,] 23876 --- [restartedMain] br.com.jrafael.api.ExpenseApplicationKt  : The following 1 profile is active: "dev"
2022-06-28 18:10:47.343  INFO [,,] 23876 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-06-28 18:10:47.343  INFO [,,] 23876 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-06-28 18:10:48.616  INFO [,,] 23876 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-06-28 18:10:48.713  INFO [,,] 23876 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 86 ms. Found 1 JPA repository interfaces.
2022-06-28 18:10:49.794  INFO [,,] 23876 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=93a19425-e173-3db6-9316-3cd76e0b51f7
2022-06-28 18:10:51.269  INFO [,,] 23876 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2022-06-28 18:10:51.284  INFO [,,] 23876 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-06-28 18:10:51.285  INFO [,,] 23876 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-28 18:10:51.432  INFO [,,] 23876 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-06-28 18:10:51.432  INFO [,,] 23876 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4086 ms
2022-06-28 18:10:52.028  INFO [,,] 23876 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
